management.M1 soil_type.CL soil_type.SL precipitation relative_irrigation number_of_trips_reduction relative_profit_percentage
0 0 0 0 0.5 0 0.103288889
0 0 0 0 1 1 0.262771717
0 0 0 0 0.75 1 0.242624837
0 0 0 0 0.5 1 0.115987302
0 0 0 0 1 2 0.184336842
0 0 0 0 0.75 2 0.184336842
0 0 0 0 0.5 2 0.128685714
0 0 0 1 1 0 0.322382222
0 0 0 1 0.75 0 0.23216732
0 0 0 1 0.5 0 0.103288889
0 0 0 1 1 1 0.262771717
0 0 0 1 0.75 1 0.242624837
0 0 0 1 0.5 1 0.115987302
0 0 0 1 1 2 0.184336842
0 0 0 1 0.75 2 0.184336842
0 0 0 1 0.5 2 0.128685714
0 0 0 2 1 0 0.380096
0 0 0 2 0.75 0 0.28832
0 0 0 2 0.5 0 0.157211429
0 0 0 2 1 1 0.261191111
0 0 0 2 0.75 1 0.261191111
0 0 0 2 0.5 1 0.169909841
0 0 0 2 1 2 0.063016296
0 0 0 2 0.75 2 0.063016296
0 0 0 2 0.5 2 0.063016296
1 0 1 0 1 0 0.207139556
1 0 1 0 0.75 0 0.122639477
1 0 1 0 0.5 0 0.001925079
1 0 1 0 1 1 0.177924805
1 0 1 0 0.75 1 0.133096993
1 0 1 0 0.5 1 0.014623492
1 0 1 0 1 2 0.14355451
1 0 1 0 0.75 2 0.14355451
1 0 1 0 0.5 2 0.027321905
1 0 1 1 1 0 0.239580444
1 0 1 1 0.75 0 0.15387817
1 0 1 1 0.5 0 0.031446349
1 0 1 1 1 1 0.203773333
1 0 1 1 0.75 1 0.164335686
1 0 1 1 0.5 1 0.044144762
1 0 1 1 1 2 0.160557854
1 0 1 1 0.75 2 0.160557854
1 0 1 1 0.5 2 0.056843175
1 0 1 2 1 0 0.304462222
1 0 1 2 0.75 0 0.216355556
1 0 1 2 0.5 0 0.090488889
1 0 1 2 1 1 0.246480808
1 0 1 2 0.75 1 0.226813072
1 0 1 2 0.5 1 0.103187302
1 0 1 2 1 2 0.170189474
1 0 1 2 0.75 2 0.170189474
1 0 1 2 0.5 2 0.115885714
1 0 1 0 1 0 0.174698667
1 0 1 0 0.75 0 0.091400784
1 0 1 0 0.5 0 -0.02759619
1 0 1 0 1 1 0.150506667
1 0 1 0 0.75 1 0.101858301
1 0 1 0 0.5 1 -0.014897778
1 0 1 0 1 2 0.122592821
1 0 1 0 0.75 2 0.112315817
1 0 1 0 0.5 2 -0.002199365
1 0 1 1 1 0 0.174698667
1 0 1 1 0.75 0 0.091400784
1 0 1 1 0.5 0 -0.02759619
1 0 1 1 1 1 0.150506667
1 0 1 1 0.75 1 0.101858301
1 0 1 1 0.5 1 -0.014897778
1 0 1 1 1 2 0.122592821
1 0 1 1 0.75 2 0.112315817
1 0 1 1 0.5 2 -0.002199365
1 0 1 2 1 0 0.272021333
1 0 1 2 0.75 0 0.185116863
1 0 1 2 0.5 0 0.060967619
1 0 1 2 1 1 0.227180247
1 0 1 2 0.75 1 0.195574379
1 0 1 2 0.5 1 0.073666032
1 0 1 2 1 2 0.171128889
1 0 1 2 0.75 2 0.171128889
1 0 1 2 0.5 2 0.086364444
1 0 1 0 1 0 0.289059556
1 0 1 0 0.75 0 0.19492183
1 0 1 0 0.5 0 0.060439365
1 0 1 0 1 1 0.255416697
1 0 1 0 0.75 1 0.205379346
1 0 1 0 0.5 1 0.073137778
1 0 1 0 1 2 0.215836863
1 0 1 0 0.75 2 0.215836863
1 0 1 0 0.5 2 0.08583619
1 0 1 1 1 0 0.311260444
1 0 1 1 0.75 0 0.217125229
1 0 1 1 0.5 0 0.082646349
1 0 1 1 1 1 0.270973333
1 0 1 1 0.75 1 0.227582745
1 0 1 1 0.5 1 0.095344762
1 0 1 1 1 2 0.222350958
1 0 1 1 0.75 2 0.222350958
1 0 1 1 0.5 2 0.108043175
1 0 1 2 1 0 0.355662222
1 0 1 2 0.75 0 0.261532026
1 0 1 2 0.5 0 0.127060317
1 0 1 2 1 1 0.293026263
1 0 1 2 0.75 1 0.271989542
1 0 1 2 0.5 1 0.13975873
1 0 1 2 1 2 0.210610526
1 0 1 2 0.75 2 0.210610526
1 0 1 2 0.5 2 0.152457143
0 0 0 0 1 0 0.293525333
0 0 0 0 0.75 0 0.20409098
0 0 0 0 0.5 0 0.076327619
0 0 0 0 1 1 0.247091358
0 0 0 0 0.75 1 0.214548497
0 0 0 0 0.5 1 0.089026032
0 0 0 0 1 2 0.189048889
0 0 0 0 0.75 2 0.189048889
0 0 0 0 0.5 2 0.101724444
0 0 0 1 1 0 0.293525333
0 0 0 1 0.75 0 0.20409098
0 0 0 1 0.5 0 0.076327619
0 0 0 1 1 1 0.247091358
0 0 0 1 0.75 1 0.214548497
0 0 0 1 0.5 1 0.089026032
0 0 0 1 1 2 0.189048889
0 0 0 1 0.75 2 0.189048889
0 0 0 1 0.5 2 0.101724444
0 0 0 2 1 0 0.351239111
0 0 0 2 0.75 0 0.26024366
0 0 0 2 0.5 0 0.130250159
0 0 0 2 1 1 0.270701176
0 0 0 2 0.75 1 0.270701176
0 0 0 2 0.5 1 0.142948571
0 0 0 2 1 2 0.155646984
0 0 0 2 0.75 2 0.155646984
0 0 0 2 0.5 2 0.155646984
0 0 0 0 1 0 0.383822222
0 0 0 0 0.75 0 0.286379085
0 0 0 0 0.5 0 0.147174603
0 0 0 0 1 1 0.318626263
0 0 0 0 0.75 1 0.296836601
0 0 0 0 0.5 1 0.159873016
0 0 0 0 1 2 0.232842105
0 0 0 0 0.75 2 0.232842105
0 0 0 0 0.5 2 0.172571429
0 0 0 1 1 0 0.383822222
0 0 0 1 0.75 0 0.286379085
0 0 0 1 0.5 0 0.147174603
0 0 0 1 1 1 0.318626263
0 0 0 1 0.75 1 0.296836601
0 0 0 1 0.5 1 0.159873016
0 0 0 1 1 2 0.232842105
0 0 0 1 0.75 2 0.232842105
0 0 0 1 0.5 2 0.172571429
